1,1,1,22
1,2,2,22
1,3,3,22
1,4,4,22
1,5,22,5
1,6,22,6
1,7,7,22
1,8,8,22
1,9,9,22
1,10,22,10
1,11,22,11
1,12,12,22
1,13,22,13
1,14,14,22
1,15,15,22
1,16,16,22
1,17,22,17
1,18,18,22
1,19,19,22
1,20,22,20
2,3,18,2
2,4,19,3
2,5,4,20
2,6,5,1
2,7,2,6
2,8,3,7
2,9,8,4
2,10,5,9
2,11,6,10
2,12,11,7
2,13,8,12
2,14,13,9
2,15,14,10
2,16,15,11
2,17,12,16
2,18,17,13
2,19,18,14
2,20,15,19
2,1,20,16
2,2,17,1
3,4,15,13
3,5,16,14
3,6,17,15
3,7,18,16
3,8,19,17
3,9,20,18
3,10,19,1
3,11,20,2
3,12,3,1
3,13,4,2
3,14,3,5
3,15,6,4
3,16,5,7
3,17,8,6
3,18,9,7
3,19,8,10
3,20,9,11
3,1,10,12
3,2,13,11
3,3,12,14
4,6,9,16
4,7,10,17
4,8,11,18
4,9,12,19
4,10,13,20
4,11,1,14
4,12,15,2
4,13,3,16
4,14,17,4
4,15,5,18
4,16,6,19
4,17,20,7
4,18,8,1
4,19,9,2
4,20,3,10
4,1,4,11
4,2,5,12
4,3,13,6
4,4,14,7
4,5,8,15
5,7,4,5
5,8,5,6
5,9,6,7
5,10,7,8
5,11,8,9
5,12,9,10
5,13,10,11
5,14,11,12
5,15,12,13
5,16,13,14
5,17,14,15
5,18,15,16
5,19,16,17
5,20,17,18
5,1,18,19
5,2,19,20
5,3,20,1
5,4,1,2
5,5,2,3
5,6,3,4
6,9,11,17
6,10,18,12
6,11,13,19
6,12,14,20
6,13,15,1
6,14,2,16
6,15,17,3
6,16,18,4
6,17,5,19
6,18,6,20
6,19,1,7
6,20,8,2
6,1,9,3
6,2,10,4
6,3,5,11
6,4,12,6
6,5,13,7
6,6,14,8
6,7,9,15
6,8,16,10
7,13,14,19
7,14,15,20
7,15,1,16
7,16,2,17
7,17,18,3
7,18,19,4
7,19,20,5
7,20,1,6
7,1,7,2
7,2,8,3
7,3,9,4
7,4,5,10
7,5,11,6
7,6,12,7
7,7,13,8
7,8,14,9
7,9,10,15
7,10,11,16
7,11,12,17
7,12,13,18
8,14,7,10
8,15,8,11
8,16,9,12
8,17,13,10
8,18,14,11
8,19,15,12
8,20,13,16
8,1,17,14
8,2,18,15
8,3,16,19
8,4,20,17
8,5,1,18
8,6,2,19
8,7,20,3
8,8,4,1
8,9,2,5
8,10,3,6
8,11,4,7
8,12,8,5
8,13,6,9
9,16,20,8
9,17,9,1
9,18,2,10
9,19,3,11
9,20,12,4
9,1,13,5
9,2,6,14
9,3,15,7
9,4,16,8
9,5,9,17
9,6,10,18
9,7,11,19
9,8,12,20
9,9,13,1
9,10,2,14
9,11,15,3
9,12,4,16
9,13,17,5
9,14,6,18
9,15,19,7
10,18,12,3
10,19,13,4
10,20,5,14
10,1,6,15
10,2,16,7
10,3,8,17
10,4,9,18
10,5,19,10
10,6,11,20
10,7,12,1
10,8,13,2
10,9,14,3
10,10,4,15
10,11,5,16
10,12,17,6
10,13,7,18
10,14,19,8
10,15,9,20
10,16,1,10
10,17,2,11
11,19,6,21
11,20,21,7
11,1,21,8
11,2,9,21
11,3,10,21
11,4,11,21
11,5,21,12
11,6,21,13
11,7,21,14
11,8,21,15
11,9,21,16
11,10,21,17
11,11,21,18
11,12,21,19
11,13,21,20
11,14,21,1
11,15,21,2
11,16,21,3
11,17,4,21
11,18,5,21
