1,1,20,1
1,2,20,2
1,3,20,3
1,4,4,20
1,5,5,20
1,6,20,6
1,7,7,20
1,8,20,8
1,9,9,20
1,10,20,10
1,11,20,11
1,12,20,12
1,13,20,13
1,14,14,20
1,15,15,20
1,16,16,20
1,17,17,20
1,18,18,20
1,19,20,19
2,3,11,15
2,4,12,16
2,5,17,13
2,6,18,14
2,7,19,15
2,8,1,16
2,9,2,17
2,10,3,18
2,11,19,4
2,12,5,1
2,13,6,2
2,14,3,7
2,15,8,4
2,16,9,5
2,17,10,6
2,18,11,7
2,19,12,8
2,1,9,13
2,2,10,14
3,6,8,10
3,7,9,11
3,8,10,12
3,9,11,13
3,10,14,12
3,11,15,13
3,12,14,16
3,13,17,15
3,14,18,16
3,15,19,17
3,16,18,1
3,17,19,2
3,18,3,1
3,19,4,2
3,1,3,5
3,2,6,4
3,3,7,5
3,4,8,6
3,5,7,9
4,7,17,18
4,8,18,19
4,9,19,1
4,10,1,2
4,11,2,3
4,12,3,4
4,13,4,5
4,14,5,6
4,15,6,7
4,16,7,8
4,17,8,9
4,18,9,10
4,19,10,11
4,1,11,12
4,2,12,13
4,3,13,14
4,4,14,15
4,5,15,16
4,6,16,17
5,10,9,4
5,11,5,10
5,12,11,6
5,13,12,7
5,14,13,8
5,15,9,14
5,16,10,15
5,17,16,11
5,18,12,17
5,19,13,18
5,1,14,19
5,2,1,15
5,3,2,16
5,4,17,3
5,5,18,4
5,6,5,19
5,7,6,1
5,8,7,2
5,9,8,3
6,12,13,7
6,13,8,14
6,14,15,9
6,15,10,16
6,16,11,17
6,17,12,18
6,18,13,19
6,19,14,1
6,1,2,15
6,2,16,3
6,3,17,4
6,4,18,5
6,5,19,6
6,6,7,1
6,7,2,8
6,8,9,3
6,9,10,4
6,10,11,5
6,11,12,6
7,15,5,2
7,16,6,3
7,17,4,7
7,18,5,8
7,19,6,9
7,1,7,10
7,2,8,11
7,3,9,12
7,4,13,10
7,5,11,14
7,6,15,12
7,7,16,13
7,8,17,14
7,9,15,18
7,10,19,16
7,11,1,17
7,12,2,18
7,13,19,3
7,14,4,1
8,16,12,19
8,17,1,13
8,18,14,2
8,19,3,15
8,1,16,4
8,2,17,5
8,3,18,6
8,4,7,19
8,5,8,1
8,6,9,2
8,7,10,3
8,8,11,4
8,9,12,5
8,10,13,6
8,11,14,7
8,12,8,15
8,13,9,16
8,14,10,17
8,15,18,11
9,17,14,3
9,18,4,15
9,19,16,5
9,1,17,6
9,2,7,18
9,3,8,19
9,4,9,1
9,5,2,10
9,6,3,11
9,7,4,12
9,8,5,13
9,9,14,6
9,10,7,15
9,11,8,16
9,12,9,17
9,13,10,18
9,14,11,19
9,15,12,1
9,16,2,13
10,18,16,6
10,19,7,17
10,1,8,18
10,2,9,19
10,3,1,10
10,4,2,11
10,5,3,12
10,6,4,13
10,7,14,5
10,8,6,15
10,9,7,16
10,10,8,17
10,11,9,18
10,12,19,10
10,13,1,11
10,14,12,2
10,15,3,13
10,16,14,4
10,17,5,15
